Datum;Betrag;Buchungsart;Buchungstext;Steuerschluessel
15.12.1212;347.11;Ausgangsrechnung;TestBuchung4;Mehrwertsteuer_19
16.12.1212;447.11;Ausgangsrechnung;TestBuchung5;Mehrwertsteuer_19
17.12.1212;547.11;Ausgangsrechnung;TestBuchung6;Mehrwertsteuer_19
18.12.1212;647.11;Ausgangsrechnung;TestBuchung7;Mehrwertsteuer_19
19.12.1212;747.11;Ausgangsrechnung;TestBuchung8;Mehrwertsteuer_19
20.12.1212;-123.11;Eingangsrechnung;TestBuchung9;Vorsteuer_19
12.12.1212;47.11;Ausgangsrechnung;TestBuchung1;Mehrwertsteuer_19
13.12.1212;147.11;Ausgangsrechnung;TestBuchung2;Mehrwertsteuer_19
14.12.1212;247.11;Ausgangsrechnung;TestBuchung3;Mehrwertsteuer_19
15.12.1212;347.11;Ausgangsrechnung;TestBuchung4;Mehrwertsteuer_19
16.12.1212;447.11;Ausgangsrechnung;TestBuchung5;Mehrwertsteuer_19
17.12.1212;547.11;Ausgangsrechnung;TestBuchung6;Mehrwertsteuer_19
18.12.1212;647.11;Ausgangsrechnung;TestBuchung7;Mehrwertsteuer_19
19.12.1212;747.11;Ausgangsrechnung;TestBuchung8;Mehrwertsteuer_19
20.12.1212;-123.11;Eingangsrechnung;TestBuchung9;Vorsteuer_19
